Method,10.5281/ZENODO.1208723,10.5281/ZENODO.15375990,10.5281/ZENODO.15390483,10.5281/ZENODO.16912445,10.5281/ZENODO.16921906,10.5281/ZENODO.16921928,10.5281/ZENODO.16990754,10.5281/ZENODO.17182180,10.5281/ZENODO.17184571,10.5281/ZENODO.3921913,10.5281/ZENODO.4066423,10.5281/ZENODO.4114608,10.5281/ZENODO.4809062,10.5281/ZENODO.4814015,10.5281/ZENODO.4814016,10.5281/ZENODO.6954489,10.5281/ZENODO.7575107,10.5281/ZENODO.8080171,ADDGENE,AGEANNO,AGING_ATLAS,ARACNE_VIPER_REGULONS,BIOGRID,CHIP-ATLAS,CISTROME_DB,CLINICALTRIALS_GOV,CMAP,DEPMAP_ACHILLES,DRUGAGE,E-MTAB-11536,E-MTAB-11616,E-MTAB-6819,E-MTAB-7324,E-MTAB-7325,ENCODE,FANTOM5,GEO_BULK_MICROARRAY_COMPENDIUM,GPL570,GSE10843,GSE10898,GSE112824,GSE116256,GSE118389,GSE123814,GSE125449,GSE13067,GSE131957,GSE132044,GSE139324,GSE140203,GSE14333,GSE145298,GSE147405,GSE14897,GSE151091,GSE156728,GSE159786,GSE162650,GSE162908,GSE162909,GSE164378,GSE165961,GSE17316,GSE174367,GSE17538,GSE181785,GSE199565,GSE200174,GSE201333,GSE214951,GSE216481,GSE217215,GSE22292,GSE237623,GSE237624,GSE237625,GSE240822,GSE27174,GSE279498,GSE283167,GSE298471,GSE298487,GSE305370,GSE305979,GSE306429,GSE31255,GSE31595,GSE33113,GSE36139,GSE37820,GSE37892,GSE39582,GSE40492,GSE62155,GSE64264,GSE65136,GSE70138,GSE72859,GSE7307,GSE77953,GSE87211,GSE88928,GSE94820,GSE96760,GSE96769,GSE98638,GSE98894,GSE99254,GSM4644946,GSM4644948,GSM4644956,GSM5696148,GSM5696149,GSM5795776,GTEX,KNOCKTF,LINCS_L1000,MULTITIMER,PANGLAODB,PRJEB82479,PRJNA606682,PRJNA768891,ROADMAP_EPIGENOMICS,SRR8119827,SRR8119833,SRR8119835,SRR8119839,SRR8119864,STRING
ANANSE (Xu et al.),0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguilar et al.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlas-guided T-cell programming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BoNesis + CABEAN + Ensemble MaBoSS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BoolIFFNN, Choo et al.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boundary-reaching control (BRC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CABEAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAESAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CANDiT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELLoGeNe (Anderson et al.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
